name,country,latitude,longitude,timezone,population,region
Saurimo,AO,-9.66078,20.39155,Africa/Luanda,393000,18
Lucapa,AO,-8.41915,20.74466,Africa/Luanda,110000,17
Dundo,AO,-7.36643,20.81557,Africa/Luanda,177604,17
Chitato,AO,-7.3,20.73333,Africa/Luanda,246880,17
Cassanguidi,AO,-7.48367,21.30339,Africa/Luanda,20000,17
Muconda,AO,-10.59236,21.31805,Africa/Luanda,8000,18
Mavinga,AO,-15.79171,20.35763,Africa/Luanda,10000,04
Lumbala,AO,-14.10165,21.43531,Africa/Luanda,19000,14
Luau,AO,-10.70727,22.22466,Africa/Luanda,55432,14
Léua,AO,-11.65753,20.44772,Africa/Luanda,5168,14
Jamba,AO,-17.5,22.66667,Africa/Luanda,12000,04
Cameia,AO,-11.69055,20.83922,Africa/Luanda,14138,14
Dala,AO,-11.03333,20.2,Africa/Luanda,7514,18
Cazombo,AO,-11.89355,22.9024,Africa/Luanda,34000,14
Camanongue,AO,-11.4361,20.16459,Africa/Luanda,12930,14
Nzagi,AO,-8.38549,15.30126,Africa/Luanda,60000,05
Uíge,AO,-7.60874,15.06131,Africa/Luanda,322531,15
Tombôco,AO,-6.80517,13.33017,Africa/Luanda,20358,16
Soyo,AO,-6.1349,12.36894,Africa/Luanda,200920,16
Songo,AO,-7.35207,14.84629,Africa/Luanda,31382,15
Sanza Pombo,AO,-7.31473,16.0024,Africa/Luanda,23000,15
Quibaxe,AO,-8.50055,14.58589,Africa/Luanda,8268,19
Puri,AO,-7.69468,15.65416,Africa/Luanda,7598,15
Ambrizette,AO,-7.23116,12.8666,Africa/Luanda,28840,16
Negage,AO,-7.75938,15.2722,Africa/Luanda,92950,15
N'dalatando,AO,-9.29782,14.91162,Africa/Luanda,161584,05
Mussende,AO,-9.95,14.8,Africa/Luanda,33558,06
Mbanza Kongo,AO,-6.26667,14.23833,Africa/Luanda,148000,16
Maquela do Zombo,AO,-6.05716,15.10971,Africa/Luanda,42000,15
Malanje,AO,-9.54015,16.34096,Africa/Luanda,455000,12
Lucala,AO,-9.27268,15.25206,Africa/Luanda,19422,05
Lubalo,AO,-9.15445,19.28136,Africa/Luanda,26103,17
Luanda,AO,-8.83682,13.23432,Africa/Luanda,2776168,20
Cunda diá Baze,AO,-8.90769,17.05339,Africa/Luanda,15965,12
Golungo Alto,AO,-9.13333,14.76667,Africa/Luanda,19992,05
Dondo,AO,-9.68456,14.42788,Africa/Luanda,64643,05
Dondo,AO,-9.05,15.31667,Africa/Luanda,64643,05
Damba,AO,-6.67868,15.13128,Africa/Luanda,12000,15
Cuímba,AO,-6.12085,14.62086,Africa/Luanda,41878,16
Cuilo,AO,-8.23619,19.52566,Africa/Luanda,26577,17
Cuango-Luzamba,AO,-9.14583,18.04453,Africa/Luanda,55000,17
Cazombo,AO,-8.73204,15.37124,Africa/Luanda,34000,05
Caxito,AO,-8.57848,13.66425,Africa/Luanda,55000,19
Cangandala,AO,-9.78333,16.43333,Africa/Luanda,16232,12
Camabatela,AO,-8.18812,15.37495,Africa/Luanda,21767,05
